Description_BF,CVE_ID,label_bf,y_predicted,predicted_label,ACC,BFDN,BFCU,BFFX,BFBT,BFSD,BFWD,Unnamed: 12,Description_AF,label_af,y_predicted.1,predicted_label.1,ACC.1,AFCB,AFC,AFBC,AFCF,AFAM,AFF,AFR,AFMS,AFMC,AFDN,AFA,AFMO,AFCN,AFP,AFLH,AFPP,Unnamed: 34,Description_CL,label_cl,predict,label_predict,ACC.2,CLBO,CLBU,CLNP,CLSF,CLOOA,CLUAF,CLCT,CLAV,CLIL,CLML,CLOBO,CLAC,CLDS,CLFR,CLTP,Exist_in_excel
Do not fetch external parameter entities.,CVE-2014-0191,4,positive,1,0,1,0,0,0,0,0,,Do not fetch external parameter entities.,2,positive,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Do not fetch external parameter entities.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
Do not fetch external parsed entities.,CVE-2013-0339,1,positive,1,1,1,0,0,0,0,0,,Do not fetch external parsed entities.,2,positive,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Do not fetch external parsed entities.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
Do not process encoding values if the declaration if broken.,CVE-2015-8317,4,positive,1,0,1,0,0,0,0,0,,Do not process encoding values if the declaration if broken.,2,positive,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Do not process encoding values if the declaration if broken.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"Double free vulnerability in libxml2 2.7.8 and other versions, as used in Google Chrome before 8.0.552.215 and other products, allows remote attackers to cause a denial of service or possibly have unspecified other impact via vectors related to XPath handling.",CVE-2010-4494,4,negative,4,1,0,0,0,0,0,0,,"Double free vulnerability in libxml2 2.7.8 and other versions, as used in Google Chrome before 8.0.552.215 and other products, allows remote attackers to cause a denial of service or possibly have unspecified other impact via vectors related to XPath handling.",2,negative,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,"Double free vulnerability in libxml2 2.7.8 and other versions, as used in Google Chrome before 8.0.552.215 and other products, allows remote attackers to cause a denial of service or possibly have unspecified other impact via vectors related to XPath handling.",3,positive,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,TRUE
"Double free vulnerability in libxml2, as used in Google Chrome before 14.0.835.163, allows remote attackers to cause a denial of service or possibly have unspecified other impact via vectors related to XPath handling.",CVE-2011-2834,4,negative,4,1,0,0,0,0,0,0,,"Double free vulnerability in libxml2, as used in Google Chrome before 14.0.835.163, allows remote attackers to cause a denial of service or possibly have unspecified other impact via vectors related to XPath handling.",2,negative,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,"Double free vulnerability in libxml2, as used in Google Chrome before 14.0.835.163, allows remote attackers to cause a denial of service or possibly have unspecified other impact via vectors related to XPath handling.",3,positive,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,TRUE
"Entities are feeding the parser on further processing, and if they are ill defined then it's possible to get the parser to bug.",CVE-2015-7941,4,positive,1,0,0,0,0,0,0,1,,"Entities are feeding the parser on further processing, and if they are ill defined then it's possible to get the parser to bug.",4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Entities are feeding the parser on further processing, and if they are ill defined then it's possible to get the parser to bug.",4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
Error in the code pointing to the codepoint in the stack for the current char value instead of the pointer in the input that the SAX callback expects.,CVE-2015-8242,4,positive,1,0,0,0,0,0,0,0,,Error in the code pointing to the codepoint in the stack for the current char value instead of the pointer in the input that the SAX callback expects.,2,negative,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,Error in the code pointing to the codepoint in the stack for the current char value instead of the pointer in the input that the SAX callback expects.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
Even when libxml2 was instructed to parse XML document without preforming entity substitutions (i.e.,CVE-2014-0191,4,positive,1,0,0,0,0,0,0,0,,Even when libxml2 was instructed to parse XML document without preforming entity substitutions (i.e.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Even when libxml2 was instructed to parse XML document without preforming entity substitutions (i.e.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"Exploitability: The complexity is fairly low, as the following xpath expressions are likely to be easily given by attackers remotely: 1. true() and format-number(1, """", """") 2. false() or format-number(1, """", """").",CVE-2018-14404,4,negative,4,1,0,0,0,0,0,0,,"Exploitability: The complexity is fairly low, as the following xpath expressions are likely to be easily given by attackers remotely: 1. true() and format-number(1, """", """") 2. false() or format-number(1, """", """").",4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Exploitability: The complexity is fairly low, as the following xpath expressions are likely to be easily given by attackers remotely: 1. true() and format-number(1, """", """") 2. false() or format-number(1, """", """").",4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
Fix a potential freeing error in XPath.,CVE-2010-4494,4,negative,4,1,0,0,0,0,0,0,,Fix a potential freeing error in XPath.,2,negative,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Fix a potential freeing error in XPath.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
Fix an off by one pointer access.,CVE-2011-3102,4,negative,4,1,0,0,0,0,0,0,,Fix an off by one pointer access.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fix an off by one pointer access.,3,positive,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,TRUE
Fix default template processing on namespace nodes.,CVE-2012-2871,4,negative,4,1,0,0,1,0,0,0,,Fix default template processing on namespace nodes.,2,negative,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Fix default template processing on namespace nodes.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
Fix inappropriate fetch of entities content For https://bugzilla.gnome.org/show_bug.cgi?id=761430.,CVE-2016-4449,4,negative,4,1,0,0,0,0,0,0,,Fix inappropriate fetch of entities content For https://bugzilla.gnome.org/show_bug.cgi?id=761430.,2,negative,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fix inappropriate fetch of entities content For https://bugzilla.gnome.org/show_bug.cgi?id=761430.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
Fix inappropriate fetch of entities content.,CVE-2016-4449,1,negative,4,0,0,0,1,0,0,0,,Fix inappropriate fetch of entities content.,2,negative,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Fix inappropriate fetch of entities content.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
Fix infinite loop in LZMA decompression.,CVE-2018-14567,4,negative,4,1,0,0,0,0,0,0,,Fix infinite loop in LZMA decompression.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fix infinite loop in LZMA decompression.,3,negative,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
Fix infinite loop in LZMA decompression.,CVE-2018-14567,4,negative,4,1,0,0,0,0,0,0,,Fix infinite loop in LZMA decompression.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fix infinite loop in LZMA decompression.,3,negative,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
Fix infinite loop in xmlStringLenDecodeEntities.,CVE-2020-7595,4,negative,4,1,0,0,0,0,0,0,,Fix infinite loop in xmlStringLenDecodeEntities.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fix infinite loop in xmlStringLenDecodeEntities.,3,negative,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
Fix looks fine.,CVE-2016-1834,4,negative,4,1,0,0,0,0,0,0,,Fix looks fine.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fix looks fine.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
Fix memory access error due to incorrect entities boundaries.,CVE-2015-7500,4,negative,4,1,0,0,0,0,0,0,,Fix memory access error due to incorrect entities boundaries.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fix memory access error due to incorrect entities boundaries.,3,negative,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
Fix memory leak in xmlParseBalancedChunkMemoryRecover.,CVE-2019-19956,4,negative,4,1,0,0,1,0,0,0,,Fix memory leak in xmlParseBalancedChunkMemoryRecover.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fix memory leak in xmlParseBalancedChunkMemoryRecover.,3,negative,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,TRUE
Fix memory leak in xmlSchemaValidateStream.,CVE-2019-20388,4,negative,4,1,0,0,1,0,0,0,,Fix memory leak in xmlSchemaValidateStream.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fix memory leak in xmlSchemaValidateStream.,3,negative,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,TRUE
Fix missing error status in XPath evaluation.,CVE-2011-2834,4,negative,4,1,0,0,0,0,0,0,,Fix missing error status in XPath evaluation.,2,negative,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Fix missing error status in XPath evaluation.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
Fix nullptr deref with XPath logic ops.,CVE-2018-14404,4,negative,4,1,0,0,0,0,0,0,,Fix nullptr deref with XPath logic ops.,2,negative,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Fix nullptr deref with XPath logic ops.,3,negative,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
Fix out-of-bounds read with 'xmllint --htmlout'.,CVE-2020-24977,4,negative,4,1,0,0,0,0,0,0,,Fix out-of-bounds read with 'xmllint --htmlout'.,2,negative,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Fix out-of-bounds read with 'xmllint --htmlout'.,3,positive,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,TRUE
Fix parsing short unclosed comment uninitialized access.,CVE-2015-8710,4,negative,4,1,0,0,1,0,0,0,,Fix parsing short unclosed comment uninitialized access.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fix parsing short unclosed comment uninitialized access.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
Fix potential out of bound access.,CVE-2012-5134,1,negative,4,0,0,0,1,0,0,0,,Fix potential out of bound access.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fix potential out of bound access.,3,positive,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,TRUE
Fix some buffer conversion issues.,CVE-2013-1969,4,negative,4,1,0,0,0,0,0,0,,Fix some buffer conversion issues.,2,negative,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Fix some buffer conversion issues.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
Fix some potential problems on reallocation failures.,CVE-2011-1944,1,negative,4,0,0,0,1,0,0,0,,Fix some potential problems on reallocation failures.,2,negative,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Fix some potential problems on reallocation failures.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
Fix the semantic of XPath axis for namespace/attribute context nodes.,CVE-2010-4008,4,negative,4,1,0,0,0,0,0,0,,Fix the semantic of XPath axis for namespace/attribute context nodes.,2,negative,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fix the semantic of XPath axis for namespace/attribute context nodes.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"Fix this by pulling out the check for the end of the input buffer into common code, and return if we reach the end of the input buffer prematurely.",CVE-2016-1833,4,positive,1,0,0,0,0,0,0,0,,"Fix this by pulling out the check for the end of the input buffer into common code, and return if we reach the end of the input buffer prematurely.",2,positive,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,"Fix this by pulling out the check for the end of the input buffer into common code, and return if we reach the end of the input buffer prematurely.",4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
Fix user-after-free with `xmllint --xinclude --dropdtd`.,CVE-2021-3518,4,negative,4,1,0,0,0,0,0,0,,Fix user-after-free with `xmllint --xinclude --dropdtd`.,2,negative,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Fix user-after-free with `xmllint --xinclude --dropdtd`.,3,positive,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
Fixed by using a do-while loop so we always call htmlParseChunk() at least once.,CVE-2016-1839,4,negative,4,1,0,0,0,0,0,0,,Fixed by using a do-while loop so we always call htmlParseChunk() at least once.,2,positive,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Fixed by using a do-while loop so we always call htmlParseChunk() at least once.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
Fixed by using a do-while loop so we always call htmlParseChunk() at least once.,CVE-2016-1839,4,negative,4,1,0,0,0,0,0,0,,Fixed by using a do-while loop so we always call htmlParseChunk() at least once.,2,negative,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Fixed by using a do-while loop so we always call htmlParseChunk() at least once.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
For browser reproduction open the html reproducers with your target browser (chrome/safari).,CVE-2018-14404,4,negative,4,1,0,0,0,0,0,0,,For browser reproduction open the html reproducers with your target browser (chrome/safari).,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,For browser reproduction open the html reproducers with your target browser (chrome/safari).,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
For https://bugzilla.gnome.org/show_bug.cgi?id=744980.,CVE-2015-7941,4,positive,1,0,0,0,0,0,0,0,,For https://bugzilla.gnome.org/show_bug.cgi?id=744980.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,For https://bugzilla.gnome.org/show_bug.cgi?id=744980.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
For https://bugzilla.gnome.org/show_bug.cgi?id=744980.,CVE-2015-7941,4,negative,4,1,0,0,0,0,0,0,,For https://bugzilla.gnome.org/show_bug.cgi?id=744980.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,For https://bugzilla.gnome.org/show_bug.cgi?id=744980.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
For https://bugzilla.gnome.org/show_bug.cgi?id=746048.,CVE-2015-8710,4,negative,4,1,0,0,0,0,0,0,,For https://bugzilla.gnome.org/show_bug.cgi?id=746048.,4,positive,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,For https://bugzilla.gnome.org/show_bug.cgi?id=746048.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
For https://bugzilla.gnome.org/show_bug.cgi?id=751603.,CVE-2015-8317,4,positive,1,0,0,0,0,0,0,0,,For https://bugzilla.gnome.org/show_bug.cgi?id=751603.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,For https://bugzilla.gnome.org/show_bug.cgi?id=751603.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
For https://bugzilla.gnome.org/show_bug.cgi?id=756263.,CVE-2015-8241,4,negative,4,1,0,0,0,0,0,0,,For https://bugzilla.gnome.org/show_bug.cgi?id=756263.,4,positive,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,For https://bugzilla.gnome.org/show_bug.cgi?id=756263.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
For https://bugzilla.gnome.org/show_bug.cgi?id=756372.,CVE-2015-8242,4,negative,4,1,0,0,0,0,0,0,,For https://bugzilla.gnome.org/show_bug.cgi?id=756372.,4,positive,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,For https://bugzilla.gnome.org/show_bug.cgi?id=756372.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
For https://bugzilla.gnome.org/show_bug.cgi?id=756525.,CVE-2015-7500,4,negative,4,1,0,0,0,0,0,0,,For https://bugzilla.gnome.org/show_bug.cgi?id=756525.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,For https://bugzilla.gnome.org/show_bug.cgi?id=756525.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
For https://bugzilla.gnome.org/show_bug.cgi?id=756527 and was also raised by Chromium team in the past.,CVE-2015-7498,4,negative,4,1,0,0,0,0,0,0,,For https://bugzilla.gnome.org/show_bug.cgi?id=756527 and was also raised by Chromium team in the past.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,For https://bugzilla.gnome.org/show_bug.cgi?id=756527 and was also raised by Chromium team in the past.,4,positive,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
For https://bugzilla.gnome.org/show_bug.cgi?id=756528.,CVE-2015-7497,4,negative,4,1,0,0,0,0,0,0,,For https://bugzilla.gnome.org/show_bug.cgi?id=756528.,4,positive,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,For https://bugzilla.gnome.org/show_bug.cgi?id=756528.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
For https://bugzilla.gnome.org/show_bug.cgi?id=758606.,CVE-2016-1833,4,negative,4,1,0,0,0,0,0,0,,For https://bugzilla.gnome.org/show_bug.cgi?id=758606.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,For https://bugzilla.gnome.org/show_bug.cgi?id=758606.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"For https://bugzilla.gnome.org/show_bug.cgi?id=759020 * parser.c: (xmlParseStartTag2): Attribute strings are only valid if the base does not change, so add another check where the base may change.",CVE-2016-1835,4,positive,1,0,0,0,0,0,0,0,,"For https://bugzilla.gnome.org/show_bug.cgi?id=759020 * parser.c: (xmlParseStartTag2): Attribute strings are only valid if the base does not change, so add another check where the base may change.",2,positive,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,"For https://bugzilla.gnome.org/show_bug.cgi?id=759020 * parser.c: (xmlParseStartTag2): Attribute strings are only valid if the base does not change, so add another check where the base may change.",4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
For https://bugzilla.gnome.org/show_bug.cgi?id=759573.,CVE-2016-4447,4,negative,4,1,0,0,0,0,0,0,,For https://bugzilla.gnome.org/show_bug.cgi?id=759573.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,For https://bugzilla.gnome.org/show_bug.cgi?id=759573.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
For https://bugzilla.gnome.org/show_bug.cgi?id=759671.,CVE-2016-1762,4,negative,4,1,0,0,0,0,0,0,,For https://bugzilla.gnome.org/show_bug.cgi?id=759671.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,For https://bugzilla.gnome.org/show_bug.cgi?id=759671.,4,positive,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
For https://bugzilla.gnome.org/show_bug.cgi?id=765207.,CVE-2016-3705,4,negative,4,1,0,0,0,0,0,0,,For https://bugzilla.gnome.org/show_bug.cgi?id=765207.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,For https://bugzilla.gnome.org/show_bug.cgi?id=765207.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
For https://bugzilla.gnome.org/show_bug.cgi?id=766414.,CVE-2016-4483,4,positive,1,0,0,0,0,0,0,0,,For https://bugzilla.gnome.org/show_bug.cgi?id=766414.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,For https://bugzilla.gnome.org/show_bug.cgi?id=766414.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"For non-UTF-8 charsets, xmlNextChar() failed to check for the end of the input buffer and would continuing reading.",CVE-2016-1833,1,positive,1,1,1,0,0,0,0,0,,"For non-UTF-8 charsets, xmlNextChar() failed to check for the end of the input buffer and would continuing reading.",4,positive,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"For non-UTF-8 charsets, xmlNextChar() failed to check for the end of the input buffer and would continuing reading.",4,positive,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
For php reproduction run the following (php needs the xml module for DOM): make sure the php files and .xsl files reside in same directory and run the following commands: php -f xpath_or.php php -f xpath_and.php -- Guy Inbar.,CVE-2018-14404,4,negative,4,1,0,0,0,0,0,0,,For php reproduction run the following (php needs the xml module for DOM): make sure the php files and .xsl files reside in same directory and run the following commands: php -f xpath_or.php php -f xpath_and.php -- Guy Inbar.,2,negative,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,For php reproduction run the following (php needs the xml module for DOM): make sure the php files and .xsl files reside in same directory and run the following commands: php -f xpath_or.php php -f xpath_and.php -- Guy Inbar.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
Found with libFuzzer.,CVE-2019-19956,4,negative,4,1,0,0,0,0,0,0,,Found with libFuzzer.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Found with libFuzzer.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
Found with libFuzzer+AddressSanitizer in fresh trunk.,CVE-2016-1840,4,negative,4,1,0,0,0,0,0,0,,Found with libFuzzer+AddressSanitizer in fresh trunk.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Found with libFuzzer+AddressSanitizer in fresh trunk.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
Free input buffer in xmlHaltParser.,CVE-2017-8872,4,negative,4,1,0,0,0,0,0,0,,Free input buffer in xmlHaltParser.,2,negative,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Free input buffer in xmlHaltParser.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
Global buffer-overflow in the htmlParseTryOrFinish function.,CVE-2017-8872,4,negative,4,1,0,0,0,0,0,0,,Global buffer-overflow in the htmlParseTryOrFinish function.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Global buffer-overflow in the htmlParseTryOrFinish function.,3,positive,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
GNOME project libxml2 v2.9.10 has a global buffer over-read vulnerability in xmlEncodeEntitiesInternal at libxml2/entities.c.,CVE-2020-24977,4,negative,4,1,0,0,0,0,0,0,,GNOME project libxml2 v2.9.10 has a global buffer over-read vulnerability in xmlEncodeEntitiesInternal at libxml2/entities.c.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,GNOME project libxml2 v2.9.10 has a global buffer over-read vulnerability in xmlEncodeEntitiesInternal at libxml2/entities.c.,3,positive,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
handle properly the case where we popped out of the current entity while processing a start tag.,CVE-2015-7500,4,positive,1,0,0,0,0,0,0,0,,handle properly the case where we popped out of the current entity while processing a start tag.,2,negative,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,handle properly the case where we popped out of the current entity while processing a start tag.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
Heap use-after-free in xmlDictComputeFastKey.,CVE-2016-1836,4,negative,4,1,0,0,0,0,0,0,,Heap use-after-free in xmlDictComputeFastKey.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Heap use-after-free in xmlDictComputeFastKey.,3,positive,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,TRUE
Heap use-after-free in xmlSAX2AttributeNs.,CVE-2016-1835,4,negative,4,1,0,0,0,0,0,0,,Heap use-after-free in xmlSAX2AttributeNs.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Heap use-after-free in xmlSAX2AttributeNs.,3,positive,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,TRUE
Heap-based buffer overflow in the xmlDictComputeFastQKey function in dict.c in libxml2 before 2.9.3 allows context-dependent attackers to cause a denial of service via unspecified vectors.,CVE-2015-7497,4,negative,4,1,0,0,0,0,0,0,,Heap-based buffer overflow in the xmlDictComputeFastQKey function in dict.c in libxml2 before 2.9.3 allows context-dependent attackers to cause a denial of service via unspecified vectors.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Heap-based buffer overflow in the xmlDictComputeFastQKey function in dict.c in libxml2 before 2.9.3 allows context-dependent attackers to cause a denial of service via unspecified vectors.,3,positive,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,TRUE
"Heap-based buffer overflow in the xmlFAParsePosCharGroup function in libxml2 before 2.9.4, as used in Apple iOS before 9.3.2, OS X before 10.11.5, tvOS before 9.2.1, and watchOS before 2.2.1, allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted XML document.",CVE-2016-1840,4,negative,4,1,0,0,0,0,0,0,,"Heap-based buffer overflow in the xmlFAParsePosCharGroup function in libxml2 before 2.9.4, as used in Apple iOS before 9.3.2, OS X before 10.11.5, tvOS before 9.2.1, and watchOS before 2.2.1, allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted XML document.",4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Heap-based buffer overflow in the xmlFAParsePosCharGroup function in libxml2 before 2.9.4, as used in Apple iOS before 9.3.2, OS X before 10.11.5, tvOS before 9.2.1, and watchOS before 2.2.1, allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted XML document.",3,positive,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,TRUE
Heap-based buffer overflow in the xmlGROW function in parser.c in libxml2 before 2.9.3 allows context-dependent attackers to obtain sensitive process memory information via unspecified vectors.,CVE-2015-7499,4,negative,4,1,0,0,0,0,0,0,,Heap-based buffer overflow in the xmlGROW function in parser.c in libxml2 before 2.9.3 allows context-dependent attackers to obtain sensitive process memory information via unspecified vectors.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Heap-based buffer overflow in the xmlGROW function in parser.c in libxml2 before 2.9.3 allows context-dependent attackers to obtain sensitive process memory information via unspecified vectors.,3,positive,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
